topic,stem,example_word,n,doc_freq,tf,idf,tf_idf
supervision,takahid,takahide,23,12,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,trs,trs,23,13,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,usc,usc,23,11,1.8365497841135728e-6,0.6931471805599453,1.2729993048162991e-6
supervision,enria,enria,22,19,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,gdds,gdds,22,13,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,mcgregor,mcgregor,22,17,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,schnadt,schnadt,22,18,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,siegert,siegert,22,17,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,suzuki,suzuki,22,12,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,vardoulaki,vardoulakis,22,16,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,vtb,vtb,22,11,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,wolter,wolters,22,17,1.7566997934999392e-6,0.6931471805599453,1.217651508954721e-6
supervision,amaranth,amaranth,21,13,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,dedollaris,dedollarisation,21,10,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,deja,deja,21,21,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,ecn,ecns,21,19,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,galati,galati,21,15,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,gerdesmei,gerdesmeier,21,14,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,hale,hale,21,17,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,lbos,lbos,21,11,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,porta,porta,21,13,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,rejoui,rejouis,21,21,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,typolog,typology,21,13,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,veron,veron,21,13,1.6768498028863056e-6,0.6931471805599453,1.1623037130931428e-6
supervision,disinterest,disinterested,20,19,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,matsushita,matsushita,20,11,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,safekeep,safekeeping,20,12,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,stresstest,stresstesting,20,18,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,tsomoco,tsomocos,20,14,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,welch,welch,20,13,1.596999812272672e-6,0.6931471805599453,1.1069559172315646e-6
supervision,avinash,avinash,19,16,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,brokerdeal,brokerdealers,19,17,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,hitoshi,hitoshi,19,11,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,kenkyu,kenkyu,19,13,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,langen,langen,19,10,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,msas,msas,19,14,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,nonclear,noncleared,19,11,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,pcaob,pcaob,19,11,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,unsupervis,unsupervised,19,17,1.5171498216590385e-6,0.6931471805599453,1.0516081213699863e-6
supervision,commencerai,commencerai,18,18,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,detragiach,detragiache,18,13,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,governmentsponsor,governmentsponsored,18,18,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,indisciplin,indiscipline,18,16,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,panicki,panicky,18,14,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,rmbss,rmbss,18,13,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,wesch,wesche,18,11,1.4372998310454049e-6,0.6931471805599453,9.96260325508408e-7
supervision,adalat,adalats,17,12,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,aifmd,aifmd,17,11,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,barrett,barrett,17,15,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,contravent,contravention,17,10,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,cvc,cvc,17,10,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,dunn,dunn,17,11,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,inorgan,inorganic,17,13,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,kapetanio,kapetanios,17,11,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,noncomplex,noncomplex,17,10,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,panigirtzoglou,panigirtzoglou,17,12,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,tslf,tslf,17,10,1.3574498404317713e-6,0.6931471805599453,9.409125296468299e-7
supervision,aicpa,aicpa,16,11,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,aux,aux,16,15,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,blower,blower,16,16,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,cetinkaya,cetinkaya,16,12,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,errant,errant,16,15,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,furman,furman,16,12,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,hellebrandt,hellebrandt,16,12,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,hlccfm,hlccfm,16,10,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,morningstar,morningstar,16,11,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,nonexecut,nonexecutive,16,13,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,rehypothec,rehypothecation,16,11,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,timeous,timeous,16,11,1.2775998498181377e-6,0.6931471805599453,8.855647337852516e-7
supervision,bathwat,bathwater,15,14,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,battistini,battistini,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,bonafid,bonafide,15,12,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,fecht,fecht,15,11,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,fireston,firestone,15,11,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,foi,fois,15,13,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,ideat,ideate,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,interpos,interposing,15,14,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,kellogg,kellogg,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,largevalu,largevalue,15,13,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,lown,lown,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,nontranspar,nontransparent,15,15,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,overstep,overstepping,15,13,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,pravda,pravda,15,12,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,quant,quants,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,reoccur,reoccur,15,12,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,roffia,roffia,15,12,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,unconfirm,unconfirmed,15,10,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,vishwanathan,vishwanathan,15,11,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,welldefin,welldefined,15,15,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,widow,widows,15,12,1.1977498592045041e-6,0.6931471805599453,8.302169379236735e-7
supervision,antulio,antulio,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,bhide,bhide,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,boeski,boesky,14,13,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,chavaz,chavaz,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,christodoulou,christodoulou,14,11,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,cormac,cormac,14,14,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,effectu,effectuate,14,14,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,fender,fender,14,11,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,landesberg,landesberger,14,12,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,resona,resona,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,risksensit,risksensitive,14,13,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,sant,sants,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,schinasi,schinasi,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,subserv,subserve,14,14,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,timevari,timevarying,14,12,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,truran,truran,14,11,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,wedow,wedow,14,10,1.1178998685908704e-6,0.6931471805599453,7.748691420620951e-7
supervision,bnm,bnm,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,boge,boge,13,13,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,carmassi,carmassi,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,deyoung,deyoung,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,dimitri,dimitri,13,13,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,ferrucci,ferrucci,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,fudg,fudged,13,11,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,industrywid,industrywide,13,13,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,invoc,invocation,13,11,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,kannan,kannan,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,monocultur,monoculture,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,offinanci,offinancial,13,11,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,politik,politik,13,11,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,recin,recine,13,13,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,riskmeasur,riskmeasurement,13,11,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,sasha,sasha,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,sipa,sipa,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,skander,skander,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,sunderam,sunderam,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,takashi,takashi,13,10,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,themen,themen,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,tsuit,tsuite,13,12,1.0380498779772368e-6,0.6931471805599453,7.195213462005169e-7
supervision,davidson,davidson,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,einen,einen,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,haibin,haibin,12,10,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,hammond,hammond,12,10,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,indranil,indranil,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,lober,lober,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,mandatorili,mandatorily,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,methuen,methuen,12,10,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,mpra,mpra,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,nongovern,nongovernment,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,predispos,predisposed,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,resi,resi,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,silan,silanes,12,10,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,steeni,steenis,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,vilan,vilan,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,viswanathan,viswanathan,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,wellcapit,wellcapitalized,12,12,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,wilder,wilderness,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,zelmer,zelmer,12,11,9.581998873636032e-7,0.6931471805599453,6.641735503389387e-7
supervision,ainsi,ainsi,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,antimoney,antimoney,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,bimonth,bimonthly,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,dpk,dpk,11,10,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,eurostoxx,eurostoxx,11,10,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,lamont,lamont,11,10,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,moyen,moyen,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,novostl,novostl,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,pattnaik,pattnaik,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,rajesh,rajesh,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,reguli,regulier,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,standardset,standardsetting,11,11,8.783498967499696e-7,0.6931471805599453,6.088257544773605e-7
supervision,anschliebend,anschliebend,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,derviz,derviz,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,grigoria,grigoria,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,hark,hark,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,iowa,iowa,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,jekyl,jekyll,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,nouy,nouy,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,unheed,unheeded,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,vadera,vadera,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,vinci,vinci,10,10,7.98499906136336e-7,0.6931471805599453,5.534779586157823e-7
supervision,financi,financial,179252,11020,0.01431327051747505,0,0
supervision,polici,policy,149411,10709,0.01193046694757361,0,0
supervision,market,market,144135,10959,0.01150917839709608,0,0
supervision,rate,rate,126366,9894,0.010090323913882425,0,0
supervision,risk,risk,101522,10030,0.00810653074707731,0,0
supervision,monetari,monetary,99767,9284,0.007966394013550383,0,0
supervision,price,price,91449,9451,0.007302201791626179,0,0
supervision,inflat,inflation,89981,7215,0.007184982005405365,0,0
supervision,econom,economic,84728,10620,0.006765530004711948,0,0
supervision,economi,economy,80901,10465,0.006459944090633572,0,0
supervision,system,system,77556,9713,0.006192845872030968,0,0
supervision,growth,growth,68552,9465,0.005473876556545811,0,0
supervision,increas,increase,67243,10583,0.005369352918832565,0,0
supervision,term,term,57313,10189,0.004576442512039183,0,0
supervision,develop,developments,57064,10457,0.004556559864376388,0,0
supervision,stabil,stability,56175,9133,0.0044855732227208674,0,0
supervision,effect,effects,50955,10241,0.0040687562717177,0,0
